# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
EPIC 220674823 c,,,,,,,0.226,0.012,0.012,13.341245,0.0001,0.0001,0.064,,,0.0,,,87.2,13.7,0.5,,2016,2016-11-03,,,,,,,,,,2457405.73124,0.0039,0.0027,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,EPIC 220674823,13.0797796,10.7946987,12.0,,,,,,,,-0.28,0.25,0.25,0.93,0.01,0.01,0.83,0.04,0.04,,,,,5814.0,18.0,18.0,,,
GJ 163 c,0.02285,0.0028,0.0028,0.02285,0.0028,0.0028,,,,25.645,0.0235,0.0235,0.1254,0.0001,0.0001,0.094,0.086,0.086,,,,,2012,2016-09-12,235.4,80.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 163,62.3167,-53.3736,11.8,,,,,15.0,0.4,0.4,,,,0.4,,,,,,M3.5,3.0,2.0,7.0,,,,,,
GJ 536,0.0169,0.002,0.0022,0.0169,0.002,0.0022,,,,8.7076,0.0025,0.0022,0.06661,1.3e-05,1e-05,0.08,0.06,0.09,,,,,2016,2016-11-08,288.7,50.6,42.5,,,,,,,,,,,,,,,,,,,,,,2.6,0.3,0.33,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,GJ 536,210.262500001,-2.655000017,,,,,,10.03,,,-0.08,0.09,0.09,0.52,0.05,0.05,0.5,0.05,0.05,M1,,,,3685.0,68.0,68.0,,,
GJ 667 C c,0.012,0.0038,0.0047,0.012,0.0038,0.0047,,,,28.14,0.03,0.03,0.125,0.013,0.012,0.02,0.02,0.15,,,,0.018289,2011,2016-10-08,292.0,360.0,360.0,2454462.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 667 C,259.7375,-34.9897222,10.22,,,,,6.84,0.4,0.4,-0.55,,,0.33,,,,,,M1.5V,2.0,nan,inf,3600.0,,,,,
HAT-P-11 b,0.0824340056005,0.00899852122203694,0.00899852122203694,,,,0.421983088559,1.33821275441655,1.33821275441655,4.887802443,3e-08,3e-08,0.053,0.0008,0.0008,0.265,0.0009,0.0003,89.05,0.09,0.15,0.001395,2009,2016-11-02,198.0,0.094,0.2,,,,,,,2454605.89132,0.00032,0.00032,,,,,,,0.209,0.032,0.019,,,,,,,750.0,,,,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-11,297.7083333,48.0808333,9.59,,,,,38.0,1.3,1.3,0.31,0.05,0.05,0.81,0.03,0.03,0.75,0.02,0.02,K4,6.5,4.1,4.1,4780.0,50.0,50.0,,,
HAT-P-65 b,0.527,0.083,0.083,,,,1.89,0.13,0.13,2.6054552,3.1e-06,3.1e-06,0.03951,0.00054,0.00054,0.3,0.3,0.0,84.2,1.3,1.3,,2016,2016-09-12,,,,,,,,,,2456409.33263,0.00046,0.00046,,,,,,,0.464,0.094,0.07,,,,68.4,11.0,11.0,1930.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-65,315.904166679,11.989444469,13.15,,,,,841.0,45.0,45.0,0.1,0.08,0.08,1.212,0.05,0.05,1.86,0.01,0.01,,5.46,0.6,0.6,5835.0,51.0,51.0,,,
HAT-P-66 b,0.783,0.057,0.057,,,,1.59,0.1,0.16,2.972086,5.7e-06,5.7e-06,0.04363,0.00064,0.00121,0.0,,,86.2,1.8,1.8,,2016,2016-09-12,,,,,,,,,,457258.79907,0.00072,0.00072,,,,,,,0.11,0.081,0.106,,,,93.5,5.7,5.7,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HAT-P-66,150.573000006,53.9508611308,13.0,,,,,927.0,49.0,75.0,0.035,0.08,0.08,1.255,0.0054,0.107,1.881,0.095,0.151,,4.66,0.12,0.52,6002.0,50.0,50.0,,,
HD 175370 b,4.6,1.0,1.0,4.6,1.0,1.0,,,,349.5,4.5,4.5,0.98,0.05,0.05,0.22,0.1,0.1,,,,,2016,2016-09-21,162.0,28.0,28.0,2456267.0,30.0,30.0,,,,,,,,,,,,,,,,,,,133.0,25.0,25.0,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 175370,283.25,43.713611136,7.19,,,,,272.0,33.0,33.0,-0.52,0.07,0.07,1.02,0.16,0.16,23.5,3.4,3.4,K2 III,8.7,6.0,5.0,4301.0,43.0,43.0,,,
HD 189733 b,1.142,0.02515,0.02516,1.138,0.025,0.025,1.138,0.077,0.077,2.21857312,7.6e-07,7.6e-07,0.03142,0.00052,0.00052,0.0041,0.002,0.002,85.51,0.05,0.05,0.001628,2005,2016-10-08,90.0,,,2454037.612,,,,,,2453988.80336,0.00024,0.00024,,,,,,,,,,,,,205.0,6.0,6.0,,,,0.4,0.11,0.12,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,"H2O, O I, CO2, CH4, CO, Na, H, C",HD 189733,300.1791667,22.7108333,7.67,,,,,19.3,0.2,0.2,-0.03,0.04,0.04,0.8,0.4,0.4,0.805,0.016,0.016,K1-K2,0.6,,,4875.0,43.0,43.0,,,
HIP 68468 b,0.011,,,0.011,,,,,,1.8372,,,0.029743,,,0.41,,,,,,,2016,2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 68468,210.266666668,-32.756944465,,,,,,87.8,9.0,9.0,0.065,0.007,0.007,1.05,0.01,0.01,,,,G3V,5.9,0.4,0.4,5857.0,8.0,8.0,,,
HIP 68468 c,0.094,,,0.094,,,,,,194.0,,,0.665,,,0.04,,,,,,,2016,2016-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HIP 68468,210.266666668,-32.756944465,,,,,,87.8,9.0,9.0,0.065,0.007,0.007,1.05,0.01,0.01,,,,G3V,5.9,0.4,0.4,5857.0,8.0,8.0,,,
HR 2562 b,30.0,15.0,15.0,,,,,,,,,,20.3,0.3,0.3,,,,,,,,2016,2016-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HR 2562,102.504226375,-60.2491437951,6.114,,,,,33.63,0.48,0.48,0.015,0.065,0.065,1.3,,,,,,F5V,0.6,0.3,0.3,,,,IR Excess,,
K2-39,0.158,0.03,0.031,,,,0.73,0.098,0.098,4.60543,0.00046,0.00046,0.062,0.012,0.01,0.0,,,80.0,4.0,4.0,,2016,2016-10-02,,,,,,,,,,2456980.8236,0.0039,0.0039,,,,,,,0.57,0.2,0.15,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-39,339.866666676,-9.022777783,10.83,,,,,255.0,,,0.32,0.04,0.04,1.53,0.13,0.13,3.88,0.42,0.48,,3.09,0.7,0.92,4881.0,20.0,20.0,,,
K2-99 b,0.97,0.09,0.09,,,,1.29,0.05,0.05,18.249,0.001,0.001,0.159,0.006,0.006,0.19,0.04,0.04,87.7,0.3,0.3,,2016,2016-11-09,,,,,,,,,,2457233.823,0.003,0.003,,,,,,,,,,,,,56.4,4.0,4.0,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TYC 4974-871 b,,EPIC 212803289,208.773750002,-5.44246668264,11.149,,,,,604.0,14.0,24.0,0.2,0.05,0.05,1.6,0.1,0.14,3.1,0.1,0.1,G0 IV,2.4,0.6,0.2,5990.0,40.0,40.0,,,"TYC 4974-871, 2MASS J13550570-0526330"
KELT-8 b,0.874,0.0669,0.0678,0.867,0.065,0.065,1.86,0.18,0.18,3.24406,0.00016,0.00016,0.04571,0.00084,0.00096,0.035,0.025,0.05,82.65,1.0,0.8,,2015,2016-09-16,85.0,97.0,87.0,2456870.47,0.86,0.75,,,,2456883.4803,0.0007,0.0007,2456868.886,0.043,0.049,,,,0.763,0.057,0.097,,,,104.0,6.4,6.4,1675.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,KELT-8,283.304166671,24.127500011,10.83,,,,,236.0,9.0,9.0,0.27,0.04,0.04,1.211,0.066,0.078,1.67,0.14,0.14,G2V,5.4,0.5,0.5,5754.0,55.0,55.0,,,HD 343246
Kepler-1647 (AB) b,1.52,0.65,0.65,,,,1.06,0.01,0.01,1107.5923,0.0227,0.0227,2.7205,0.007,0.007,0.0581,0.0689,0.0689,90.0972,0.0035,0.0035,,2015,2016-10-14,155.0464,146.5723,146.5723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-1647 (AB),298.150000012,40.656111129,13.78,,,,,,,,,,,2.1885,0.01,0.01,1.79,0.006,0.006,,,,,6210.0,100.0,100.0,,,
Kepler-21 b,0.016,0.00541,0.00541,,,,0.1462,0.0013,0.0017,2.78578,3e-05,3e-05,0.0427172,3e-07,3e-07,0.02,0.02,0.1,83.2,0.26,0.28,0.000394,2011,2016-09-27,245.0,79.0,79.0,2456797.9,0.7,0.7,,,,2455093.83716,0.00085,0.00062,,,,,,,0.584,0.02,0.018,,,,1.99,0.65,0.65,2025.0,,,,,,,Announced on a professional conference,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-21,287.3625,38.7138889,8.27,,,,,108.0,19.0,19.0,-0.15,0.06,0.06,1.34,0.06,0.06,1.86,0.04,0.04,F6IV,2.84,0.35,0.35,6131.0,44.0,44.0,,,
Kepler-80 d,0.0212,0.0016,0.0022,,,,0.125,,,3.07,,,,,,,,,,,,,2012,2016-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,,KOI-500 d,,Kepler-80,296.1125,39.9788889,15.0,,,,,,,,-0.56,,,,,,0.738,,,,,,,4250.0,,,,,KOI-500
OGLE-2007-BLG-349(AB) b,0.25,0.041,0.041,,,,,,,,,,2.59,0.34,0.43,,,,,,,,2016,2016-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2007-BLG-349(AB),271.350000008,-26.421944457,,,,,,2760.0,380.0,380.0,,,,0.71,0.12,0.12,,,,,,,,,,,,,
PSR 0636 b,8.0,,,8.0,,,,,,0.067,,,,,,,,,,,,,2016,2016-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Pulsar,,,,,PSR J0636,99.0,51.483333343,,,,,,,,,,,,1.4,,,,,,PSR,,,,,,,,,PSR J0636+5129
Qatar-3 b,4.31,0.47,0.47,,,,1.096,0.14,0.14,2.5079204,9.9e-06,9.9e-06,0.03783,0.00069,0.00069,,,,86.8,2.0,2.0,,2016,2016-09-18,,,,,,,,,,2457302.453,0.0001,0.0001,,,,,,,0.35,0.22,0.22,,,,587.0,58.0,58.0,1681.0,84.0,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-3,359.150000012,36.21305557,,,,,,,,,-0.041,0.081,0.081,1.145,0.064,0.064,1.272,0.14,0.14,,4.079,1.34,1.34,6007.0,52.0,52.0,,,UCAC3 253-304972
Qatar-4 b,5.85,0.47,0.47,,,,1.552,0.057,0.057,1.8053949,9.9e-06,9.9e-06,0.02861,0.00048,0.00048,,,,88.82,1.2,1.2,,2016,2016-09-18,,,,,,,,,,2457323.65441,0.00098,0.00098,,,,,,,0.114,0.11,0.11,,,,1004.0,71.0,71.0,1570.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-4,4.858333342,44.027500009,,,,,,,,,0.166,0.081,0.081,0.954,0.048,0.048,1.115,0.037,0.037,,12.9,0.95,0.95,5219.0,50.0,50.0,,,UCAC3 269-003518
Qatar-5 b,4.32,0.18,0.18,,,,1.107,0.064,0.064,2.8792319,9.9e-06,9.9e-06,0.04127,0.0067,0.0067,,,,88.74,0.87,0.87,,2016,2016-09-18,,,,,,,,,,2457336.75824,9.8e-05,9.8e-05,,,,,,,0.18,0.16,0.16,,,,568.0,15.0,15.0,1415.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Qatar-5,7.054166671,42.061388899,,,,,,,,,0.377,0.08,0.08,1.128,0.056,0.056,1.076,0.051,0.051,,5.47,4.4,4.4,5747.0,49.0,49.0,,,UCAC3 265-004681
V2051 Oph b,7.3,0.7,0.7,7.3,0.7,0.7,,,,,,,9.0,,,0.37,,,,,,,2015,2016-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Other,,,PM J17083-2548S (AB) b,,V2051 Oph,257.079500006,-25.8088055786,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,PM J17083-2548S (AB)
WASP-17 b,0.486,0.032,0.032,,,,1.991,0.081,0.081,3.735438,6.8e-06,6.8e-06,0.0515,0.00034,0.00034,0.028,0.018,0.015,86.83,0.56,0.68,,2009,2016-09-14,277.4,14.6,2.6,,,,,,,2454577.85806,0.00027,0.00027,,,,,,,0.401,0.077,0.059,,,,,,,,,,,,,,Submitted to a professional journal,Primary Transit,,,,"O I, Na, C, K",WASP-17,239.9625,-28.0616667,11.6,,,,,,,,-0.19,0.09,0.09,1.2,-0.13,-0.13,1.38,-0.18,-0.18,F4,3.0,-2.6,-2.6,6650.0,80.0,80.0,,,
WASP-47 b,1.21,0.39,0.59,,,,1.15,0.25,0.25,4.16071,0.00038,0.00038,0.052,0.011,0.011,0.0028,0.002,0.0042,89.02,0.17,0.17,0.00026,2011,2016-10-28,30.0,79.0,79.0,2455764.3463,0.0002,0.0002,,,,2456982.97823,0.00032,0.00032,,,,,,,0.13,0.08,0.05,,,,142.0,1.7,1.7,1275.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
WASP-47 c,1.57,0.59,1.0,,,,,,,580.7,9.6,9.6,1.41,0.3,0.3,0.36,0.12,0.12,87.0,45.0,45.0,,2015,2016-10-28,136.0,20.0,20.0,2455981.0,16.0,16.0,,,,,,,,,,,,,,,,,,,29.4,6.1,6.1,247.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
WASP-47 d,0.0529,0.022,0.038,,,,0.331,0.073,0.073,9.095,0.014,0.014,0.088,0.019,0.019,0.006,0.004,0.098,89.22,0.13,0.13,,2015,2016-10-28,27.0,89.0,89.0,,,,,,,2456988.375,0.014,0.014,,,,,,,0.152,0.051,0.051,,,,4.77,0.81,0.81,,,,,,,,Published in a refereed paper,"Primary Transit, TTV",Radial Velocity,Primary Transit,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
WASP-47 e,0.029,0.011,0.017,,,,0.162,0.036,0.036,0.789636,1.7e-05,1.7e-05,0.0173,0.0038,0.0038,0.03,0.02,0.036,86.2,2.1,2.1,,2015,2016-10-28,160.0,140.0,140.0,,,,,,,2456979.76455,0.00094,0.00094,,,,,,,0.188,0.049,0.049,,,,6.1,1.9,1.9,,,,,,,,Published in a refereed paper,"Primary Transit, TTV",Radial Velocity,Primary Transit,,,WASP-47,331.2041667,-12.0188889,11.9,,,,,200.0,30.0,30.0,0.18,0.07,0.07,1.11,0.49,0.39,1.16,0.26,0.26,G9V,,,,5400.0,100.0,100.0,,,
